t     x     v
0.00  0.00 0.000.00 0.00 0.00
0.01 0.00 0.00
0.01 0.00 0.00
0.02 0.00 0.00
0.02 0.00 0.00
0.03 0.00 0.00
0.03 0.00 0.00
0.04 0.00 0.00
0.04 0.00 0.00
0.05 0.00 0.00
0.05 0.00 0.00
0.06 0.00 0.00
0.06 0.00 0.00
0.07 0.00 0.00
0.07 0.00 0.00
0.08 0.00 0.00
0.09 0.00 0.00
0.09 0.00 0.00
0.10 0.00 0.00
0.10 0.00 0.00
0.11 0.00 0.00
0.11 0.00 0.00
0.12 0.00 0.00
0.12 0.00 0.00
0.13 0.00 0.00
0.13 0.00 0.00
0.14 0.00 0.00
0.14 0.00 0.00
0.14 0.00 0.00
0.15 0.00 0.00
0.15 0.00 0.00
0.16 0.00 0.00
0.16 0.00 0.00
0.17 0.00 0.00
0.17 0.00 0.00
0.18 0.00 0.00
0.18 0.00 0.00
0.19 0.00 0.00
0.19 0.00 0.01
0.20 0.00 0.01
0.20 0.00 0.02
0.21 0.00 0.02
0.21 0.00 0.03
0.22 0.00 0.03
0.22 0.00 0.04
0.23 0.00 0.04
0.23 0.00 0.05
0.24 0.00 0.05
0.24 0.00 0.06
0.25 0.00 0.06
0.25 0.00 0.07
0.26 0.00 0.07
0.26 0.00 0.08
0.27 0.00 0.08
0.27 0.00 0.09
0.28 0.00 0.09
0.28 0.01 0.10
0.29 0.01 0.10
0.29 0.01 0.11
0.30 0.01 0.11
0.30 0.01 0.12
0.31 0.01 0.12
0.31 0.01 0.13
0.32 0.01 0.13
0.32 0.01 0.14
0.33 0.01 0.14
0.33 0.01 0.14
0.34 0.01 0.15
0.34 0.01 0.15
0.35 0.01 0.16
0.35 0.01 0.16
0.36 0.02 0.17
0.36 0.02 0.17
0.37 0.02 0.18
0.37 0.02 0.18
0.38 0.02 0.19
0.38 0.02 0.19
0.39 0.02 0.20
0.39 0.02 0.20
0.40 0.02 0.20
0.40 0.02 0.21
0.41 0.02 0.21
0.41 0.03 0.22
0.42 0.03 0.22
0.42 0.03 0.23
0.43 0.03 0.23
0.43 0.03 0.24
0.44 0.03 0.24
0.44 0.03 0.24
0.45 0.03 0.25
0.45 0.04 0.25
0.46 0.04 0.26
0.46 0.04 0.26
0.47 0.04 0.27
0.47 0.04 0.27
0.48 0.04 0.27
0.48 0.04 0.28
0.49 0.05 0.28
0.49 0.05 0.29
0.50 0.05 0.29
0.50 0.05 0.30
0.51 0.05 0.30
0.51 0.05 0.31
0.52 0.05 0.31
0.52 0.06 0.31
0.53 0.06 0.32
0.53 0.06 0.32
0.54 0.06 0.33
0.54 0.06 0.33
0.55 0.06 0.33
0.55 0.07 0.34
0.56 0.07 0.34
0.56 0.07 0.35
0.57 0.07 0.35
0.57 0.07 0.36
0.58 0.07 0.36
0.58 0.08 0.36
0.59 0.08 0.37
0.59 0.08 0.37
0.60 0.08 0.38
0.60 0.08 0.38
0.61 0.09 0.38
0.61 0.09 0.39
0.62 0.09 0.39
0.62 0.09 0.39
0.63 0.09 0.39
0.63 0.10 0.38
0.64 0.10 0.38
0.64 0.10 0.38
0.65 0.10 0.38
0.65 0.10 0.38
0.66 0.10 0.38
0.66 0.11 0.38
0.67 0.11 0.38
0.67 0.11 0.38
0.68 0.11 0.38
0.68 0.11 0.37
0.69 0.12 0.37
0.69 0.12 0.37
0.70 0.12 0.37
0.70 0.12 0.37
0.71 0.12 0.37
0.71 0.13 0.37
0.72 0.13 0.37
0.72 0.13 0.37
0.73 0.13 0.37
0.73 0.13 0.37
0.74 0.13 0.36
0.74 0.14 0.36
0.75 0.14 0.36
0.75 0.14 0.36
0.76 0.14 0.36
0.76 0.14 0.36
0.77 0.15 0.36
0.77 0.15 0.36
0.78 0.15 0.36
0.78 0.15 0.36
0.79 0.15 0.36
0.79 0.15 0.36
0.80 0.16 0.35
0.80 0.16 0.35
0.81 0.16 0.35
0.81 0.16 0.35
0.82 0.16 0.35
0.82 0.16 0.35
0.83 0.17 0.35
0.83 0.17 0.35
0.84 0.17 0.35
0.84 0.17 0.35
0.85 0.17 0.35
0.85 0.18 0.34
0.86 0.18 0.34
0.86 0.18 0.34
0.87 0.18 0.34
0.87 0.18 0.34
0.88 0.18 0.34
0.88 0.19 0.34
0.89 0.19 0.34
0.89 0.19 0.34
0.90 0.19 0.34
0.90 0.19 0.34
0.91 0.19 0.34
0.91 0.20 0.33
0.92 0.20 0.33
0.92 0.20 0.33
0.93 0.20 0.33
0.93 0.20 0.33
0.94 0.20 0.33
0.94 0.21 0.33
0.95 0.21 0.33
0.95 0.21 0.33
0.96 0.21 0.33
0.96 0.21 0.33
0.97 0.21 0.33
0.97 0.22 0.33
0.98 0.22 0.32
0.98 0.22 0.32
0.99 0.22 0.32
0.99 0.22 0.32
1.00 0.22 0.32
1.00 0.22 0.32
1.01 0.23 0.32
1.01 0.23 0.32
1.02 0.23 0.32
1.02 0.23 0.32
1.03 0.23 0.32
1.03 0.23 0.32
1.04 0.24 0.31
1.04 0.24 0.31
1.05 0.24 0.31
1.05 0.24 0.31
1.06 0.24 0.31
1.06 0.24 0.31
1.07 0.25 0.31
1.07 0.25 0.31
1.08 0.25 0.31
1.08 0.25 0.31
1.09 0.25 0.31
1.09 0.25 0.31
1.10 0.25 0.31
1.10 0.26 0.31
1.11 0.26 0.30
1.11 0.26 0.30
1.12 0.26 0.30
1.12 0.26 0.30
1.13 0.26 0.30
1.13 0.27 0.30
1.14 0.27 0.30
1.14 0.27 0.30
1.15 0.27 0.30
1.15 0.27 0.30
1.16 0.27 0.30
1.16 0.27 0.30
1.17 0.28 0.30
1.17 0.28 0.29
1.18 0.28 0.29
1.18 0.28 0.29
1.19 0.28 0.29
1.19 0.28 0.29
1.20 0.28 0.29
1.20 0.29 0.29
1.21 0.29 0.29
1.21 0.29 0.29
1.22 0.29 0.29
1.22 0.29 0.29
1.23 0.29 0.29
1.23 0.29 0.29
1.24 0.30 0.29
1.24 0.30 0.28
1.25 0.30 0.28
1.25 0.30 0.28
1.26 0.30 0.28
1.26 0.30 0.28
1.27 0.30 0.28
1.27 0.31 0.28
1.28 0.31 0.28
1.28 0.31 0.28
1.29 0.31 0.28
1.29 0.31 0.28
1.30 0.31 0.28
1.30 0.31 0.28
1.31 0.32 0.28
1.31 0.32 0.28
1.32 0.32 0.27
1.32 0.32 0.27
1.33 0.32 0.27
1.33 0.32 0.27
1.34 0.32 0.27
1.34 0.33 0.27
1.35 0.33 0.27
1.35 0.33 0.27
1.36 0.33 0.27
1.36 0.33 0.27
1.37 0.33 0.27
1.37 0.33 0.27
1.38 0.33 0.27
1.38 0.34 0.27
1.39 0.34 0.27
1.39 0.34 0.26
1.40 0.34 0.26
1.40 0.34 0.26
1.41 0.34 0.26
1.41 0.34 0.26
1.42 0.35 0.26
1.42 0.35 0.26
1.43 0.35 0.26
1.43 0.35 0.26
1.44 0.35 0.26
1.44 0.35 0.26
1.45 0.35 0.26
1.45 0.35 0.26
1.46 0.36 0.26
1.46 0.36 0.26
1.47 0.36 0.26
1.47 0.36 0.25
1.48 0.36 0.25
1.48 0.36 0.25
1.49 0.36 0.25
1.49 0.36 0.25
1.50 0.37 0.25
1.50 0.37 0.25
1.51 0.37 0.25
1.51 0.37 0.25
1.52 0.37 0.25
1.52 0.37 0.25
1.53 0.37 0.25
1.53 0.37 0.25
1.54 0.38 0.25
1.54 0.38 0.25
1.55 0.38 0.25
1.55 0.38 0.24
1.56 0.38 0.24
1.56 0.38 0.24
1.57 0.38 0.24
1.57 0.38 0.24
1.58 0.39 0.24
1.58 0.39 0.24
1.59 0.39 0.24
1.59 0.39 0.24
1.60 0.39 0.24
1.60 0.39 0.24
1.61 0.39 0.24
1.61 0.39 0.24
1.62 0.39 0.24
1.62 0.40 0.24
1.63 0.40 0.24
1.63 0.40 0.24
1.64 0.40 0.23
1.64 0.40 0.23
1.65 0.40 0.23
1.65 0.40 0.23
1.66 0.40 0.23
1.66 0.41 0.23
1.67 0.41 0.23
1.67 0.41 0.23
1.68 0.41 0.23
1.68 0.41 0.23
1.69 0.41 0.23
1.69 0.41 0.23
1.70 0.41 0.23
1.70 0.41 0.23
1.71 0.42 0.23
1.71 0.42 0.23
1.72 0.42 0.23
1.72 0.42 0.23
1.73 0.42 0.22
1.73 0.42 0.22
1.74 0.42 0.22
1.74 0.42 0.22
1.75 0.42 0.22
1.75 0.43 0.22
1.76 0.43 0.22
1.76 0.43 0.22
1.77 0.43 0.22
1.77 0.43 0.22
1.78 0.43 0.22
1.78 0.43 0.22
1.79 0.43 0.22
1.79 0.43 0.22
1.80 0.44 0.22
1.80 0.44 0.22
1.81 0.44 0.22
1.81 0.44 0.22
1.82 0.44 0.21
1.82 0.44 0.21
1.83 0.44 0.21
1.83 0.44 0.21
1.84 0.44 0.21
1.84 0.45 0.21
1.85 0.45 0.21
1.85 0.45 0.21
1.86 0.45 0.21
1.86 0.45 0.21
1.87 0.45 0.21
1.87 0.45 0.21
1.88 0.45 0.21
1.88 0.45 0.21
1.89 0.45 0.21
1.89 0.46 0.21
1.90 0.46 0.21
1.90 0.46 0.21
1.91 0.46 0.21
1.91 0.46 0.20
1.92 0.46 0.20
1.92 0.46 0.20
1.93 0.46 0.20
1.93 0.46 0.20
1.94 0.46 0.20
1.94 0.47 0.20
1.95 0.47 0.20
1.95 0.47 0.20
1.96 0.47 0.20
1.96 0.47 0.20
1.97 0.47 0.20
1.97 0.47 0.20
1.98 0.47 0.20
1.98 0.47 0.20
1.99 0.47 0.20
1.99 0.48 0.20
2.00 0.48 0.20
2.00 0.48 0.20
2.01 0.48 0.20
2.01 0.48 0.20
2.02 0.48 0.19
2.02 0.48 0.19
2.03 0.48 0.19
2.03 0.48 0.19
2.04 0.48 0.19
2.04 0.49 0.19
2.05 0.49 0.19
2.05 0.49 0.19
2.06 0.49 0.19
2.06 0.49 0.19
2.07 0.49 0.19
2.08 0.49 0.19
2.08 0.49 0.19
2.09 0.49 0.19
2.09 0.49 0.19
2.10 0.50 0.19
